Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Archaea|p__Crenarchaeota	432	109	463	83	93	163	187	102	91	75	71	172	159	124	239	206	207	190	138	193	95	120	191	251	76	2	211	334	153	387	184	120	53	400	116	146	52	48	115	1	3	5	187	232	61	175	d__Archaea; p__Crenarchaeota
d__Archaea|p__Euryarchaeota	19	15	7	6	13	69	62	262	14	14	8	54	90	50	19	24	13	18	9	43	23	6	68	1	6	0	18	11	15	14	35	216	7	18	7	6	6	7	10	1	1	0	30	23	7	7	d__Archaea; p__Euryarchaeota
d__Archaea|p__Thaumarchaeota	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	d__Archaea; p__Thaumarchaeota
d__Bacteria|p__Acidobacteria	2	4	5	3	5	11	2	7	2	3	2	8	2	3	4	9	3	4	0	3	6	6	3	2	5	0	2	4	1	4	4	10	0	2	3	2	1	1	4	0	0	0	9	0	5	1	d__Bacteria; p__Acidobacteria
d__Bacteria|p__Actinobacteria	12429	419	1196	4257	7283	3430	6100	5989	3298	4736	5819	2616	6972	5099	5064	12725	661	1704	1851	8164	2356	2153	1928	2146	7037	10	2266	6158	43810	1801	15215	14333	628	1956	2225	12794	11579	6718	6258	14	153	78	4511	11916	1351	6409	d__Bacteria; p__Actinobacteria
d__Bacteria|p__Aquificae	0	2	1	3	0	2	5	1	1	2	0	2	5	0	4	0	0	5	0	3	1	3	1	2	0	0	1	1	4	2	1	0	1	3	0	0	0	2	1	0	0	0	0	1	3	1	d__Bacteria; p__Aquificae
d__Bacteria|p__Armatimonadetes	0	0	0	0	0	3	0	2	0	0	1	0	0	1	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Armatimonadetes
d__Bacteria|p__Bacteroidetes	9386	4295	8662	5683	4989	3654	3067	350	12376	5141	6940	6889	4151	575	6948	7280	11507	10282	4481	7424	5929	8492	1645	9687	2432	29	9897	4723	4240	27145	1553	1013	8234	11973	7176	4568	3803	5541	4615	238	5	298	6776	9510	6014	21233	d__Bacteria; p__Bacteroidetes
d__Bacteria|p__Caldiserica	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Caldiserica
d__Bacteria|p__Calditrichaeota	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	2	1	1	0	d__Bacteria; p__Calditrichaeota
d__Bacteria|p__Candidatus_Cloacimonetes	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	d__Bacteria; p__Candidatus_Cloacimonetes
d__Bacteria|p__Candidatus_Gracilibacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Candidatus_Gracilibacteria
d__Bacteria|p__Candidatus_Saccharibacteria	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	d__Bacteria; p__Candidatus_Saccharibacteria
d__Bacteria|p__Chlamydiae	1	1	0	1	3	0	0	3	0	0	0	2	0	1	0	0	1	2	0	0	1	0	1	0	1	0	1	1	2	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	d__Bacteria; p__Chlamydiae
d__Bacteria|p__Chlorobi	5	2	5	1	3	4	5	3	1	4	2	4	6	1	1	8	4	3	3	4	4	3	8	4	7	0	1	8	6	4	7	7	3	4	6	4	3	8	5	0	0	0	17	2	2	4	d__Bacteria; p__Chlorobi
d__Bacteria|p__Chloroflexi	4	2	5	3	13	8	2	12	2	2	0	11	5	9	12	11	2	4	1	3	6	2	12	3	3	0	5	8	4	4	11	11	5	6	6	5	4	4	8	0	0	1	3	6	5	3	d__Bacteria; p__Chloroflexi
d__Bacteria|p__Chrysiogenetes	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	d__Bacteria; p__Chrysiogenetes
d__Bacteria|p__Coprothermobacterota	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Coprothermobacterota
d__Bacteria|p__Cyanobacteria	14	15	14	13	26	22	20	23	12	14	5	13	15	16	22	23	20	24	6	16	15	12	19	11	17	0	28	29	11	10	18	14	6	22	23	17	11	7	15	0	0	0	17	14	7	11	d__Bacteria; p__Cyanobacteria
d__Bacteria|p__Deferribacteres	0	1	1	2	1	1	2	2	0	1	0	0	1	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Deferribacteres
d__Bacteria|p__Deinococcus-Thermus	4	1	1	5	9	23	4	20	7	2	3	14	3	8	8	14	8	11	1	18	4	4	9	2	4	0	10	1	9	3	14	10	2	9	0	7	2	2	6	0	0	0	20	7	3	1	d__Bacteria; p__Deinococcus-Thermus
d__Bacteria|p__Dictyoglomi	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	d__Bacteria; p__Dictyoglomi
d__Bacteria|p__Elusimicrobia	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	2	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Elusimicrobia
d__Bacteria|p__Fibrobacteres	2	0	1	0	0	1	2	1	0	3	0	1	1	1	0	0	6	0	0	1	1	0	2	0	0	0	1	7	0	0	3	2	0	1	4	1	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Fibrobacteres
d__Bacteria|p__Firmicutes	33715	17743	32894	8709	23445	16774	15489	9617	13399	45509	9337	17783	20305	13582	44610	9148	39681	23358	17004	24258	13369	13417	10602	22770	13052	139	24340	22329	15624	21856	11732	14178	33830	50396	17203	19816	13888	10406	16120	206	218	740	23473	24709	8347	22899	d__Bacteria; p__Firmicutes
d__Bacteria|p__Fusobacteria	8	14	7	5	5	4	3	4	7	6	6	5	7	3	8	1	8	16	5	8	3	7	8	3	2	0	6	4	34	6	0	8	8	19	125	3	6	1	2	0	0	2	1	6	2	9	d__Bacteria; p__Fusobacteria
d__Bacteria|p__Gemmatimonadetes	1	0	2	2	3	3	1	4	4	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	3	0	1	0	1	0	1	3	0	0	1	1	1	0	1	0	0	0	4	0	0	1	d__Bacteria; p__Gemmatimonadetes
d__Bacteria|p__Ignavibacteriae	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	2	1	0	0	1	0	0	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	d__Bacteria; p__Ignavibacteriae
d__Bacteria|p__Kiritimatiellaeota	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Kiritimatiellaeota
d__Bacteria|p__Lentisphaerae	2	0	48	2	0	7	1	21	0	1	0	2	1	6	1	1	1	14	0	3	2	1	1	0	1	0	2	0	1	1	17	35	2	0	0	0	0	0	0	0	0	0	3	1	1	0	d__Bacteria; p__Lentisphaerae
d__Bacteria|p__Nitrospirae	0	2	1	1	0	1	3	1	0	0	0	2	1	2	3	3	1	1	0	1	0	1	1	1	1	0	1	2	1	0	0	2	0	2	2	0	0	0	1	0	0	0	2	0	1	0	d__Bacteria; p__Nitrospirae
d__Bacteria|p__Planctomycetes	1	1	3	4	7	8	2	9	1	8	2	6	0	3	4	10	0	7	0	4	4	1	5	2	4	0	3	2	2	3	6	4	1	2	9	1	0	2	3	0	0	0	12	2	2	1	d__Bacteria; p__Planctomycetes
d__Bacteria|p__Proteobacteria	5805	1001	2499	650	9822	1772	986	1404	6082	627	452	1175	3974	978	1891	2039	1358	1330	2964	1753	699	3275	1398	12380	704	58	1398	2051	2478	2105	4857	902	412	2292	896	903	573	3734	1265	55	81	176	2066	1132	525	1156	d__Bacteria; p__Proteobacteria
d__Bacteria|p__Spirochaetes	22	14	16	7	10	23	7	10	9	10	9	17	14	394	21	13	13	11	11	10	3	8	393	8	7	0	16	18	8	11	6	6	2	19	5	11	5	12	9	0	0	0	15	11	10	7	d__Bacteria; p__Spirochaetes
d__Bacteria|p__Synergistetes	1	0	5	3	6	3	0	9	1	7	1	4	5	3	2	7	1	5	0	3	2	1	5	0	1	0	4	1	1	1	3	6	2	1	0	2	1	2	6	0	0	0	6	2	0	2	d__Bacteria; p__Synergistetes
d__Bacteria|p__Tenericutes	7	7	9	10	3	6	8	5	4	0	4	9	4	6	13	6	7	4	3	7	7	3	6	6	1	0	4	23	8	9	8	6	4	31	2	5	4	3	3	0	1	0	7	8	3	11	d__Bacteria; p__Tenericutes
